hpo_id_phenotype,hpoID_Computable,Label,Synonyms,Description
HP:0000268,HP_0000268,Dolichocephaly,"Tall and narrow skull|Long, narrow head","An abnormality of skull shape characterized by a increased anterior-posterior diameter, i.e., an increased antero-posterior dimension of the skull. Cephalic index less than 76%. Alternatively, an apparently increased antero-posterior length of the head compared to width. Often due to premature closure of the sagittal suture."
HP:0009921,HP_0009921,Duane anomaly,Limited eye movement from Duane anomaly|Limited eye motility from Duane anomaly,A condition associated with a limitation of the horizontal ocular movement with retraction of the globe and narrowing of the palpebral fissure on adduction
HP:0000577,HP_0000577,Exotropia,Outward facing eye ball,A form of strabismus with one or both eyes deviated outward.
HP:0001537,HP_0001537,Umbilical hernia,Umbilical hernias,Protrusion of abdominal contents through a defect in the abdominal wall musculature around the umbilicus. Skin and subcutaneous tissue overlie the defect.
HP:0004307,HP_0004307,Abnormal anatomic location of the heart, ,Thickening of the left ventricle wall with congenital onset.
HP:0008465,HP_0008465,Absent vertebra,Absent vertebrae,A developmental defect characterized by agenesis of one or more vertebral bodies.
HP:0010305,HP_0010305,Absence of the sacrum,Absent sacrum|Sacral agenesis,Absence (aplasia) of the sacrum.
HP:0010714,HP_0010714,2-4 toe syndactyly,"Syndactyly toes 2-4|Syndactyly of toes 2, 3 and 4|Webbed 2nd-4th toes",Syndactyly with fusion of toes two to four.
HP:0005750,HP_0005750,Contractures of the joints of the lower limbs,"Contractures, lower limbs", 
HP:0008839,HP_0008839,Hypoplastic pelvis,Small pelvis|Hypoplastic pelvic bones,Underdevelopment of the bony pelvis.
HP:0000369,HP_0000369,Low-set ears,Lowset ears|Low-set ears|Melotia|Low set ears,Upper insertion of the ear to the scalp below an imaginary horizontal line drawn between the inner canthi of the eye and extending posteriorly to the ear.
HP:0006610,HP_0006610,Wide intermamillary distance,Widely-spaced nipples|Widely spaced nipples|Wide-spaced nipples,A larger than usual distance between the left and right nipple.
HP:0002608,HP_0002608,Celiac disease,Celiac disease|Celiac sprue|Coeliac disease,"Celiac disease (CD) is an autoimmune condition affecting the small intestine, triggered by the ingestion of gluten, the protein fraction of wheat, barley, and rye. Clinical manifestations of CD are highly variable and include both gastrointestinal and non-gastrointestinal features. The hallmark of CD is an immune-mediated enteropathy. This term is included because the occurence of CD is seen as a feature of a number of other diseases."
HP:0000501,HP_0000501,Glaucoma, ,Glaucoma refers loss of retinal ganglion cells in a characteristic pattern of optic neuropathy usually associated with increased intraocular pressure.
HP:0002243,HP_0002243,Protein-losing enteropathy, ,Abnormal loss of protein from the digestive tract related to excessive leakage of plasma proteins into the lumen of the gastrointestinal tract.
HP:0007370,HP_0007370,Aplasia/Hypoplasia of the corpus callosum,Absent/hypoplastic corpus callosum|Agenesis/hypoplastic corpus callosum|Hypoplastic or absent corpus callosum|Complete or partial absence of the corpus callosum|Hypoplasia or absence of the corpus callosum,Absence or underdevelopment of the corpus callosum.
HP:0100694,HP_0100694,Tibial torsion, ,Tibial torsion is inward twisting (medial rotation) (PATO:0002155) of the tibia.
HP:0002786,HP_0002786,Tracheobronchomalacia, ,"Weakness of the cartilage in the trachea and the bronchi, resulting in a floppy (non-rigid) airway. Affected persons may have difficulties to maintain patency of the airways."
HP:0001605,HP_0001605,Vocal cord paralysis,Laryngeal paralysis|Inability to move vocal cords,A loss of the ability to move the vocal folds.
HP:0010307,HP_0010307,Stridor, ,Stridor is a high pitched sound resulting from turbulent air flow in the upper airway.
HP:0010448,HP_0010448,Colonic atresia,Atresia of the large intestine|Large intestinal atresia,"A developmental defect resulting in complete obliteration of the lumen of the colon. That is, there is an abnormal closure, or atresia of the tubular structure of the colon."
HP:0100802,HP_0100802,Malposition of the stomach,Gastric malposition|Abnormal stomach location|Gastric ectopia,Abnormal anatomical location of the stomach. This feature may be due to intestinal malrotation.
HP:0100790,HP_0100790,Hernia, , 
HP:0000075,HP_0000075,Renal duplication,Extra kidney,"A congenital anomaly of the urinary tract, in which the kidney is duplicated and is drained via two separate renal pelves and ureters."
HP:0002308,HP_0002308,Arnold-Chiari malformation,Chiari malformation,"Arnold-Chiari malformation consists of a downward displacement of the cerebellar tonsils and the medulla through the foramen magnum, sometimes causing hydrocephalus as a result of obstruction of CSF outflow."
HP:0100367,HP_0100367,Short phalanx of the 4th toe,Short 4th toe bone|Short phalanx of the fourth toe|Hypoplastic/small phalanges of the 4th toe,Developmental hypoplasia of one or more phalanx of fourth toe.
HP:0100368,HP_0100368,Short phalanx of the 5th toe,Short little toe bone|Short pinky toe bone|Short pinkie toe bone|Short phalanx of the fifth toe|Hypoplastic/small phalanges of the 5th toe,Developmental hypoplasia of one or more phalanx of little toe.
HP:0000921,HP_0000921,Missing ribs,Decreased rib number|Absent ribs|Missing ribs,A developmental anomaly with absence of one or more ribs.
HP:0002575,HP_0002575,Tracheoesophageal fistula, ,An abnormal connection (fistula) between the esophagus and the trachea.
HP:0100633,HP_0100633,Esophagitis,Oesophagitis|Inflammation of the esophagus,Inflammation of the esophagus.
HP:0000518,HP_0000518,Cataract,Cataracts|Cloudy lens|Clouding of the lens of the eye|Lens opacities|Lens opacity,A cataract is an opacity or clouding that develops in the crystalline lens of the eye or in its capsule.
HP:0007875,HP_0007875,Congenital blindness,Congenital amaurosis|Blindness present at birth,Blindness with onset at birth.
HP:0012443,HP_0012443,Abnormality of brain morphology,Abnormal shape of brain|Abnormality of the brain,"A structural abnormality of the brain, which has as its parts the forebrain, midbrain, and hindbrain."
HP:0000413,HP_0000413,Atresia of the external auditory canal,Atretic external auditory canal|Atretic auditory canal|Atretic external auditory canals|External auditory meatal atresia|Auditory canal atresia|External acoustic meatus atresia|Absent external auditory canals|Atretic auditory canals|Absent ear canal|Absent auditory canals|External auditory meatus atresia|External auditory canal atresia,Absence or failure to form of the external auditory canal.
HP:0000200,HP_0000200,Short lingual frenulum,Deficiency of lingual frenulum|Short tongue frenulum|Short tongue frenum|Tight lingual frenulum|Short lingual frenum,The presence of an abnormally short lingual frenulum.
HP:0000473,HP_0000473,Torticollis,Spasmodic torticollis|Wry neck|Cervical dystonia|Loxia,Involuntary contractions of the neck musculature resulting in an abnormal posture of or abnormal movements of the head.
HP:0004841,HP_0004841,Reduced factor XII activity,Factor XII deficiency|Hageman factor deficiency,"Decreased activity of coagulation factor XII. Factor XII (fXII) is part of the intrinsic coagulation pathway and binds to exposed collagen at site of vessel wall injury, activated by high-MW kininogen and kallikrein, thereby initiating the coagulation cascade."
HP:0040019,HP_0040019,Finger clinodactyly, , 
HP:0000125,HP_0000125,Pelvic kidney,Sacral kidney,A developmental defect in which a kidney is located in an abnormal anatomic position within the pelvis.
HP:0100810,HP_0100810,Pointed helix,Vulcan ear|Spock's ear|Spock ear|Elfin ear, 
HP:0002099,HP_0002099,Asthma,Bronchial asthma|Asthma,"Asthma is characterized by increased responsiveness of the tracheobronchial tree to multiple stimuli, leading to narrowing of the air passages with resultant dyspnea, cough, and wheezing."
HP:0002277,HP_0002277,Horner syndrome,Oculosympathetic palsy|Horner's syndrome,"An abnormality resulting from a lesion of the sympathetic nervous system characterized by a combination of unilateral ptosis, miosis, and often ipsilateral hypohidrosis and conjunctival injection."
HP:0000126,HP_0000126,Hydronephrosis, ,Severe distention of the kidney with dilation of the renal pelvis and calices.
HP:0000076,HP_0000076,Vesicoureteral reflux,Ureteral reflux|Vesicoureteric reflux|Ureteric reflux,Abnormal (retrograde) movement of urine from the bladder into ureters or kidneys related to inadequacy of the valvular mechanism at the ureterovesicular junction or other causes.
HP:0002240,HP_0002240,Hepatomegaly,Enlarged liver,Abnormally increased size of the liver.
HP:0000591,HP_0000591,Abnormal sclera morphology,Abnormality of the sclera,An abnormality of the sclera.
HP:0000592,HP_0000592,Blue sclerae,Bluish sclerae|Blue sclera|Whites of eyes are a bluish-gray color,An abnormal bluish coloration of the sclera.
HP:0001545,HP_0001545,Anteriorly placed anus,Anteriorly displaced anus|Anus anteposition,Anterior malposition of the anus.
HP:0012368,HP_0012368,Flat face,Flat facies|Flat face|Flat facial profile|Flat facial shape,Absence of concavity or convexity of the face when viewed in profile.
HP:0001161,HP_0001161,Hand polydactyly,Finger polydactyly|Extra finger|Polydactyly of the hand|Supernumerary finger,A kind of polydactyly characterized by the presence of a supernumerary finger or fingers.
HP:0009919,HP_0009919,Retinoblastoma, ,A tumor of the eye originating from cells of the retina.
HP:0011626,HP_0011626,Scimitar anomaly,Scimitar syndrome|Pulmonary venolobar syndrome,Right pulmonary venous return to the inferior vena cava.
HP:0001057,HP_0001057,Aplasia cutis congenita,Absence of part of skin at birth|Cutis aplasia|Congenital absence of skin,"A developmental defect resulting in the congenital absence of skin in multiple or solitary non-inflammatory, well-demarcated, oval or circular ulcers with a diameter of about 1 to 2 cm. Aplasia cutis congenita most commonly occurs on the scalp, but may present in the face, trunk, or limbs."
HP:0011816,HP_0011816,Parietal encephalocele, ,An encephalocele located between bregma and lambda.
HP:0000160,HP_0000160,Narrow mouth,Small oral aperture|Small mouth|Microstomia|Narrow mouth,"Distance between the commissures of the mouth more than 2 SD below the mean. Alternatively, an apparently decreased width of the oral aperture (subjective)."
HP:0000219,HP_0000219,Thin upper lip vermilion,Decreased height of upper lip vermilion|Decreased volume of upper lip vermilion|Decreased volume of upper lip|Thin upper lip|Thin vermilion border of upper lip,"Height of the vermilion of the upper lip in the midline more than 2 SD below the mean. Alternatively, an apparently reduced height of the vermilion of the upper lip in the frontal view (subjective)."
HP:0011315,HP_0011315,Unicoronal synostosis,Unilateral coronal suture craniosynostosis|Unilateral coronal suture synostosis,Synostosis affecting only one of the coronal sutures.
HP:0006931,HP_0006931,Lipoma of corpus callosum, , 
HP:0000143,HP_0000143,Rectovaginal fistula,Abnormal connection between rectum and vagina,The presence of a fistula between the vagina and the rectum.
HP:0001829,HP_0001829,Foot polydactyly,Polydactyly of the foot|Polydactyly of feet|Duplication of bones of the toes,A kind of polydactyly characterized by the presence of a supernumerary toe or toes.
HP:0011342,HP_0011342,Mild global developmental delay,"Global developmental delay, mild",A mild delay in the achievement of motor or mental milestones in the domains of development of a child.
HP:0005802,HP_0005802,Coalescence of tarsal bones, , 
HP:0001274,HP_0001274,Agenesis of corpus callosum,Absent corpus callosum|Agenesis of the corpus callosum|Dysplastic or absent corpus callosum|Absence of corpus callosum|Corpus callosum agenesis|Callosal agenesis,"Absence of the corpus callosum as a result of the failure of the corpus callosum to develop, which can be the result of a failure in any one of the multiple steps of callosal development including cellular proliferation and migration, axonal growth or glial patterning at the midline."
HP:0004453,HP_0004453,Overfolding of the superior helices,Overfolding of superior helix,A condition in which the superior portion of the helix is folded over to a greater degree than normal.
HP:0002020,HP_0002020,Gastroesophageal reflux,Acid reflux|GERD|Gastroesophageal reflux disease|Heartburn|Acid reflux disease,A condition in which the stomach contents leak backwards from the stomach into the esophagus through the lower esophageal sphincter.
HP:0002414,HP_0002414,Spina bifida, ,"Incomplete closure of the embryonic neural tube, whereby some vertebral arches remain unfused and open. The mildest form is spina bifida occulta, followed by meningocele and meningomyelocele."
HP:0001741,HP_0001741,Phimosis, ,The male foreskin cannot be fully retracted from the head of the penis.
HP:0002904,HP_0002904,Hyperbilirubinemia,High blood bilirubin levels,An increased amount of bilirubin in the blood.
HP:0002079,HP_0002079,Hypoplasia of the corpus callosum,Small corpus callosum|Thin corpus callosum|Underdevelopment of part of brain called corpus callosum|Thinning of the corpus callosum|Hypoplastic corpus callosum|Corpus callosum hypoplasia|Hypoplasia of corpus callosum,Underdevelopment of the corpus callosum.
HP:0000821,HP_0000821,Hypothyroidism,Underactive thyroid|Low T4,Deficiency of thyroid hormone.
HP:0005487,HP_0005487,Prominent metopic ridge,Prominent frontal ridge|Ridging of metopic suture|Prominent metopic suture,Vertical bony ridge positioned in the midline of the forehead.
HP:0001245,HP_0001245,Small thenar eminence,Thenar hypoplasia|Decreased thenar eminence|Hypoplastic thenar eminences|Thenar muscle hypoplasia,Underdevelopment of the thenar eminence with reduced palmar soft tissue mass surrounding the base of the thumb.
HP:0100699,HP_0100699,Scarring,Scarring, 
HP:0000113,HP_0000113,Polycystic kidney dysplasia,Polycystic kidneys|Enlarged polycystic kidneys,The presence of multiple cysts in both kidneys.
HP:0004452,HP_0004452,Abnormality of the middle ear ossicles,Malformed ossicles|Ossicular malformation,"An abnormality of the middle-ear ossicles (three small bones called malleus, incus, and stapes) that are contained within the middle ear and serve to transmit sounds from the air to the fluid-filled labyrinth (cochlea)."
HP:0001283,HP_0001283,Bulbar palsy,Bulbar palsies|Bulbar weakness|Bulbar muscle weakness,"Bulbar weakness (or bulbar palsy) refers to bilateral impairment of function of the lower cranial nerves IX, X, XI and XII, which occurs due to lower motor neuron lesion either at nuclear or fascicular level in the medulla or from bilateral lesions of the lower cranial nerves outside the brain-stem. Bulbar weakness is often associated with difficulty in chewing, weakness of the facial muscles, dysarthria, palatal weakness and regurgitation of fluids, dysphagia, and dysphonia."
HP:0012036,HP_0012036,Sternocleidomastoid amyotrophy, ,"Wasting of the sternocleidomastoid muscle, the muscle in the anterior part of the neck that acts to flex and rotate the head."
HP:0003003,HP_0003003,Colon cancer,Colon cancer, 
HP:0000879,HP_0000879,Short sternum,Short sternum,Decreased inferosuperior length of the sternum.
HP:0000465,HP_0000465,Webbed neck,Neck webbing|Pterygium colli|Webbed neck,Pterygium colli is a congenital skin fold that runs along the sides of the neck down to the shoulders. It involves an ectopic fibrotic facial band superficial to the trapezius muscle. Excess hair-bearing skin is also present and extends down the cervical region well beyond the normal hairline.
HP:0025426,HP_0025426,Abnormal bronchus morphology,Abnormality of the bronchi,Any anomaly of the morphology of the bronchi.
HP:0020186,HP_0020186,Multilobulated spleen,Multi-lobulated spleen,"The fetal spleen is lobulated, and these lobules normally disappear before the birth. Lobulation of the spleen may persist into adult life and be typically seen along the medial part of the spleen. A persisting lobule results in a variation in shape of the spleen."
HP:0008050,HP_0008050,Abnormality of the palpebral fissures,Abnormality of the opening between the eyelids|Abnormality of the palpebral fissures,An anomaly of the space between the medial and lateral canthi of the two open eyelids.
HP:0000322,HP_0000322,Short philtrum,Vertical hypoplasia of philtrum|Decreased vertical dimension of philtrum|Decreased length of philtrum|Decreased height of philtrum,"Distance between nasal base and midline upper lip vermilion border more than 2 SD below the mean. Alternatively, an apparently decreased distance between nasal base and midline upper lip vermilion border."
HP:0000233,HP_0000233,Thin vermilion border,Thin lips|Decreased volume of lip vermillion|Decreased volume of lip|Thin vermillion,"Height of the vermilion of the medial part of the lip more than 2 SD below the mean, or apparently reduced height of the vermilion of the lip in the frontal view. The vermilion is the red part of the lips (and confusingly, the vermilion itself is also often referred to as being equivalent the lips)."
HP:0000341,HP_0000341,Narrow forehead,Intertemporal narrowing|Decreased width of the forehead|Temporal narrowness|Bitemporal skull narrowing|Narrow bitemporal diameter|Narrow forehead|Bitemporal narrowness|Bitemporal narrowing|Narrow bitemporal width,Width of the forehead or distance between the frontotemporales is more than two standard deviations below the mean (objective); or apparently narrow intertemporal region (subjective).
HP:0000494,HP_0000494,Downslanted palpebral fissures,Downslanting palpebral fissures|Palpebral fissures down-slanted|Downward slanting of the opening between the eyelids|Down-slanted palpebral fissures|Down slanting palpebral fissures|Antimongoloid eye slant|Downward slanted palpebral fissures|Antimongoloid slanted palpebral fissures|Antimongoloid slant of palpebral fissures|Downslanting palpebral fissure|Down-slanting palpebral fissure|Downward slanting palpebral fissures|Downward-slanting palpebral fissures|Down-slanting palpebral fissures,The palpebral fissure inclination is more than two standard deviations below the mean.
HP:0000601,HP_0000601,Hypotelorism,Decreased distance between eye sockets|Decreased distance between eyes|Ocular hypotelorism|Decreased orbital separation|Closely spaced eyes|Abnormally close eyes|Decreased interpupillary distance,"Interpupillary distance less than 2 SD below the mean (alternatively, the appearance of an decreased interpupillary distance or closely spaced eyes)."
HP:0000248,HP_0000248,Brachycephaly,Short and broad skull,"An abnormality of skull shape characterized by a decreased anterior-posterior diameter. That is, a cephalic index greater than 81%. Alternatively, an apparently shortened anteroposterior dimension (length) of the head compared to width."
HP:0006539,HP_0006539,Bronchial cartilage hypoplasia,Underdevelopment of the bronical cartilage, 
HP:0000527,HP_0000527,Long eyelashes,Increased length of eyelashes|Ciliary trichomegaly|Unusually long eyelashes|Eyelash trichomegaly|Long eyelashes,Mid upper eyelash length >10 mm or increased length of the eyelashes (subjective).
HP:0011800,HP_0011800,Midface retrusion,"Flat midface|Decreased size of midface|Midface deficiency|Underdevelopment of midface|Midface hypoplasia|Retrusive midface|Midface, flat|Midface retrusion|Hypoplasia of midface","Posterior positions and/or vertical shortening of the infraorbital and perialar regions, or increased concavity of the face and/or reduced nasolabial angle."
HP:0001090,HP_0001090,Abnormally large globe,Increased size of eyes|Large eyes|Megalophthalmos,Diffusely large eye (with megalocornea) without glaucoma.
HP:0001607,HP_0001607,Subglottic stenosis, , 
HP:0000464,HP_0000464,Abnormality of the neck,Abnormality of the neck|Anomaly of the neck,An abnormality of the neck.
HP:0000958,HP_0000958,Dry skin,Dry skin|Xerosis,Skin characterized by the lack of natural or normal moisture.
HP:0000237,HP_0000237,Small anterior fontanelle,Small anterior fontanel|Small forehead fontanel,Abnormally decreased size of the anterior fontanelle with respect to age-dependent norms.
HP:0040262,HP_0040262,Glue ear, ,Middle ear is filled with glue-like fluid instead of air.
HP:0009098,HP_0009098,Chronic oral candidiasis,Chronic oral thrush,"Chronic accumulation and overgrowth of the fungus Candida albicans on the mucous membranes of the mouth, generally manifested as associated with creamy white lesions on the tongue or inner cheeks, occasionally spreading to the gums, tonsils, palate or oropharynx."
HP:0410260,HP_0410260,Asymmetrical gluteal crease,Asymmetrical buttock crease|Asymmetrical gluteal sulcus|Asymmetrical horizontal gluteal crease,"The presence of an asymmetrical gluteal crease, the horizontal crease formed by the inferior aspect of the buttocks and the posterior upper leg."
HP:0004313,HP_0004313,Decreased circulating antibody level,Decreased antibody level in blood|Decreased serum immunoglobulin|Reduced immunoglobulin levels|Decreased immunoglobulin level|Hypogammaglobulinemia|Immunoglobulin deficiency,An abnormally decreased level of immunoglobulin in blood.
HP:0006521,HP_0006521,Pulmonary lymphangiectasia,Pulmonary lymphangiectasis,"Abnormal dilatation of the pulmonary lymphatic vessels. Lymphatic fluid in the lung is derived from normal leakage of fluid out of the blood capillaries in the lung. In pulmonary lymphangiectasia, the pulmonary lymphatics are not properly connected and become dilated with fluid."
HP:0001009,HP_0001009,Telangiectasia,Cutaneous telangiectasia|Telangiectases,"Telangiectasias refer to small dilated blood vessels located near the surface of the skin or mucous membranes, measuring between 0.5 and 1 millimeter in diameter. Telangiectasia are located especially on the tongue, lips, palate, fingers, face, conjunctiva, trunk, nail beds, and fingertips."
HP:0001732,HP_0001732,Abnormality of the pancreas,Abnormality of the pancreas,An abnormality of the pancreas.
HP:0000378,HP_0000378,Cupped ear,"Cupped ear|Simple, cup-shaped ears|Cup-shaped ears",Laterally protruding ear that lacks antihelical folding (including absence of inferior and superior crura).
HP:0009623,HP_0009623,Proximal placement of thumb,Attachment of thumb close to wrist|Low implantation of the thumb|Proximally placed thumbs,Proximal mislocalization of the thumb.
HP:0011102,HP_0011102,Ileal atresia, ,"An abnormal closure, or atresia of the tubular structure of the ileum."
HP:0030875,HP_0030875,Abnormality of pulmonary circulation,Abnormality of respiratory circulation|Abnormal pulmonary circulation,A functional anomaly of that portion of the cardiosvascular system that carries deoxygenated blood from the heart to the lungs and returns oxygenated blood back to the heart.
HP:0000358,HP_0000358,Posteriorly rotated ears,"Posteriorly angulated ears|Posteriorly-rotated ears|Posteriorly rotated auricles|Posteriorly rotated|Ear, posterior angulation, increased|Posteriorly-angulated ears|Ears rotated toward back of head","A type of abnormal location of the ears in which the position of the ears is characterized by posterior rotation (the superior part of the ears is rotated towards the back of the head, and the inferior part of the ears towards the front)."
HP:0003026,HP_0003026,Short long bone,shortened long tubular bones|Short tubular bones|Long bone shortening|Short long bone,One or more abnormally short long bone.
HP:0002032,HP_0002032,Esophageal atresia,Birth defect in which part of esophagus did not develop,A developmental defect resulting in complete obliteration of the lumen of the esophagus such that the esophagus ends in a blind pouch rather than connecting to the stomach.
HP:0007759,HP_0007759,Opacification of the corneal stroma,Cloudy cornea|Corneal stromal opacity,Reduced transparency of the stroma of cornea.
HP:0000778,HP_0000778,Hypoplasia of the thymus,Small thymus|Thymic hypoplasia|Thymus hypoplasia,Underdevelopment of the thymus.
HP:0007018,HP_0007018,Attention deficit hyperactivity disorder,Attention deficit disorder|Childhood attention deficit/hyperactivity disorder|Attention deficits|Attention deficit|Attention deficit-hyperactivity disorder,"Attention deficit hyperactivity disorder (ADHD) manifests at age 2-3 years or by first grade at the latest. The main symptoms are distractibility, impulsivity, hyperactivity, and often trouble organizing tasks and projects, difficulty going to sleep, and social problems from being aggressive, loud, or impatient."
HP:0002666,HP_0002666,Pheochromocytoma,Chromaffin tumors,"Pheochromocytomas (also known as chromaffin tumors) produce, store, and secrete catecholamines. Pheochromocytomas usually originate from the adrenal medulla but may also develop from chromaffin cells in or about sympathetic ganglia. A common symptom of pheochromocytoma is hypertension owing to release of catecholamines."
HP:0003974,HP_0003974,Absent radius,Radial aplasia|Absent ossification/absence of radius|absence of radius and ulna|Aplasia of the radius|Missing outer large bone of forearm,Missing radius bone associated with congenital failure of development.
HP:0009822,HP_0009822,Aplasia involving forearm bones,Absent forearm bones, 
HP:0031805,HP_0031805,Intraretinal hemorrhage,Intraretinal haemorrhage,A subtype of fundus hemorrhage occurring within the neurosensory retina. Intraretinal haemorrhages may be 'dot' or' blot' shaped or flame shaped depending upon their depth within the retina.
HP:0008541,HP_0008541,Superiorly displaced ears, , 
HP:0000851,HP_0000851,Congenital hypothyroidism,"Underactive thyroid gland from birth|Hypothyroidism, congenital",A type of hypothyroidism with congenital onset.
HP:0003124,HP_0003124,Hypercholesterolemia,Elevated serum cholesterol|Elevated total cholesterol|Increased total cholesterol,An increased concentration of cholesterol in the blood.
HP:0002648,HP_0002648,Abnormality of calvarial morphology,Abnormally shaped skull|Abnormal cranium morphology|Abnormality of the shape of calvarium|Abnormality of the shape of cranium|Abnormality of cranial bone morphology,"The presence of an abnormal shape of the calvaria (skullcap), that is, of that part of the skull that is made up of the superior portions of the frontal bone, occipital bone, and parietal bones and covers the cranial cavity that contains the brain."
HP:0000520,HP_0000520,Proptosis,Protrusio bulbi|Eyeballs bulging out|Prominent eyes|Exophthalmos|Anterior bulging of the globe of eye|Bulging eye|Prominent globes|Protruding eyes|Anterior bulging of the globe|Ocular proptosis,An eye that is protruding anterior to the plane of the face to a greater extent than is typical.
HP:0001733,HP_0001733,Pancreatitis,Pancreatic inflammation,The presence of inflammation in the pancreas.
HP:0002751,HP_0002751,Kyphoscoliosis, ,An abnormal curvature of the spine in both a coronal (lateral) and sagittal (back-to-front) plane.
HP:0007281,HP_0007281,Developmental stagnation,Developmental arrest,"A cessation of the development of a child in the areas of motor skills, speech and language, cognitive skills, and social and/or emotional skills."
HP:0003552,HP_0003552,Muscle stiffness, ,A condition in which muscles cannot be moved quickly without accompanying pain or spasm.
HP:0000646,HP_0000646,Amblyopia,Wandering eye|Lazy eye|Wandering eyes,Reduced visual acuity that is uncorrectable by lenses in the absence of detectable anatomic defects in the eye or visual pathways.
HP:0000565,HP_0000565,Esotropia,Inward turning cross eyed,"A form of strabismus with one or both eyes turned inward ('crossed') to a relatively severe degree, usually defined as 10 diopters or more."
HP:0000011,HP_0000011,Neurogenic bladder,Lack of bladder control due to nervous system injury,"A type of bladder dysfunction caused by neurologic damage. Neurogenic bladder can be flaccid or spastic. Common manifestatios of neurogenic bladder are overflow incontinence, frequency, urgency, urge incontinence, and retention."
HP:0002144,HP_0002144,Tethered cord,Occult spinal dysraphism,"During normal embryological development, the spinal cord first occupies the entire length of the vertebral column but goes on to assume a position at the level of L1 due to differential growth of the conus medullaris and the vertebral column. The filum terminale is a slender, threadlike structure that remains after the normal regression of the distal embryonic spinal cord and attaches the spinal cord to the coccyx. A tethered cord results if there is a thickened rope-like filum terminale which anchors the cord at the level of L2 or below, potentially causing neurologic signs owing to abnormal tension on the spinal cord."
HP:0005359,HP_0005359,Aplasia of the thymus,Athymia|Absent thymus,Absence of the thymus. This feature may be appreciated by the lack of a thymic shadow upon radiographic examination.
HP:0100750,HP_0100750,Atelectasis,Partial or complete collapse of part or entire lung|Pulmonary atelectasis,Collapse of part of a lung associated with absence of inflation (air) of that part.
HP:0001943,HP_0001943,Hypoglycemia,Low blood sugar|Hypoglycaemia,A decreased concentration of glucose in the blood.
HP:0000829,HP_0000829,Hypoparathyroidism,Decreased parathyroid hormone secretion|Low parathyroid hormone,A condition caused by a deficiency of parathyroid hormone characterized by hypocalcemia and hyperphosphatemia.
HP:0002199,HP_0002199,Hypocalcemic seizures,Low calcium seizures|Seizures due to hypocalcemia, 
HP:0100512,HP_0100512,Low levels of vitamin D,Vitamin D deficiency|Deficient in vitamin D,A reduced concentration of Vitamin D.
HP:0001903,HP_0001903,Anemia,Anaemia|Low number of red blood cells or hemoglobin,A reduction in erythrocytes volume or hemoglobin concentration.
HP:0006528,HP_0006528,Chronic lung disease,Chronic lung disease,"According to the definitions of the American and British Thoracic Societies, including pulmonary functional tests, X-rays, and CT scans for items such as fibrosis, bronchiectasis, bullae, emphysema, nodular or lymphomatous abnormalities."
HP:0500049,HP_0500049,Retinopathy of prematurity, ,An avascular or abnormally vascularized retina that occurs in premature infants and can lead to blindness.
HP:0000823,HP_0000823,Delayed puberty,Delayed pubertal growth|Delayed puberty|Pubertal delay|Delayed pubertal development,Passing the age when puberty normally occurs with no physical or hormonal signs of the onset of puberty.
HP:0000729,HP_0000729,Autistic behavior,ASD|Pervasive developmental disorder|Autistic behaviour,Persistent deficits in social interaction and communication and interaction as well as a markedly restricted repertoire of activity and interest as well as repetitive patterns of behavior.
HP:0001344,HP_0001344,Absent speech,Absent speech development|No speech development|Lack of language development|No speech or language development|Nonverbal|Lack of speech,Complete lack of development of speech and language abilities.
HP:0000377,HP_0000377,Abnormality of the pinna,Minor malformation of the auricles|Auricular malformation|Deformed ears|Malformed ears|Malformation of auricle|Malformed auricles|Malformed external ears|Abnormal form of ears|Poorly defined conchae|Dysplastic ears|Deformed auricles|Abnormally shaped ears,"An abnormality of the pinna, which is also referred to as the auricle or external ear."
HP:0004602,HP_0004602,Cervical C2/C3 vertebral fusion,Klippel-Feil anomaly|Klippel-Feil syndrome|Fusion of cervical vertebrae c2-3,"Fusion of cervical vertebrae at C2 and C3, caused by a failure in the normal segmentation or division of the cervical vertebrae during the early weeks of fetal development, leading to a short neck with a low hairline at the back of the head, and restricted mobility of the upper spine."
HP:0010055,HP_0010055,Broad hallux,Broad big toe|Wide big toe|Broad great toes|Abnormally broad great toes|Broad great toe|Broad halluces,Visible increase in width of the hallux without an increase in the dorso-ventral dimension.
HP:0000218,HP_0000218,High palate,"Elevated palate|High palate|Palate high-arched|Increased palatal height|High, arched palate|High-arched palate|High arched palate|Palate, high-arched",Height of the palate more than 2 SD above the mean (objective) or palatal height at the level of the first permanent molar more than twice the height of the teeth (subjective).
HP:0008462,HP_0008462,Cervical instability, , 
HP:0000957,HP_0000957,Cafe-au-lait spot,Cafe-au-lait macule|Cafe au lait spots|Cafe-au-lait macules,Cafe-au-lait spots are hyperpigmented lesions that can vary in color from light brown to dark brown with smooth borders and having a size of 1.5 cm or more in adults and 0.5 cm or more in children.
HP:0001172,HP_0001172,Abnormal thumb morphology,Abnormality of the thumbs|Thumb deformity|Abnormality of the thumb,An abnormal structure of the first digit of the hand.
HP:0000639,HP_0000639,Nystagmus,"Involuntary, rapid, rhythmic eye movements","Rhythmic, involuntary oscillations of one or both eyes related to abnormality in fixation, conjugate gaze, or vestibular mechanisms."
